Training Data %,Epochs,Pseudo-Thresh,Y-Thresh,Average,STD
0.04,40,0.875,0.5,0.845199,0.027839
0.04,10,0.875,0.7,0.817272,0.027017
0.04,20,0.875,0.7,0.834742,0.025487
0.04,40,0.875,0.7,0.838803,0.023203
0.04,10,0.9075,0.3,0.822650,0.031945
0.04,20,0.9075,0.3,0.831039,0.036406
0.04,40,0.9075,0.3,0.847639,0.026343
0.04,10,0.9075,0.5,0.820804,0.034692
0.04,20,0.9075,0.5,0.821001,0.037318
0.04,40,0.9075,0.5,0.838807,0.014342
0.04,10,0.9075,0.7,0.803951,0.030083
0.04,20,0.9075,0.7,0.835113,0.031210
0.04,40,0.9075,0.7,0.839486,0.023614
0.04,10,0.95,0.3,0.816777,0.034299
0.04,20,0.95,0.3,0.833312,0.027143
0.04,40,0.95,0.3,0.839722,0.014650
0.04,10,0.95,0.5,0.815471,0.035819
0.04,20,0.95,0.5,0.832263,0.038280
0.04,40,0.95,0.5,0.842098,0.029806
0.04,10,0.95,0.7,0.816719,0.030498
0.04,20,0.95,0.7,0.823800,0.035014
0.04,40,0.95,0.7,0.836991,0.030819
0.05,10,0.8,0.3,0.809169,0.060215
0.05,20,0.8,0.3,0.816630,0.059159
0.05,40,0.8,0.3,0.830880,0.026870
0.05,10,0.8,0.5,0.806714,0.047267
0.05,20,0.8,0.5,0.823056,0.053786
0.05,40,0.8,0.5,0.841346,0.034043
0.05,10,0.8,0.7,0.801139,0.053937
0.05,20,0.8,0.7,0.818361,0.044605
0.05,40,0.8,0.7,0.840968,0.047223
0.05,10,0.8325,0.3,0.807450,0.055854
0.05,20,0.8325,0.3,0.814133,0.058998
0.05,40,0.8325,0.3,0.830637,0.039819
0.05,10,0.8325,0.5,0.806050,0.064430
0.05,20,0.8325,0.5,0.813271,0.054593
0.05,40,0.8325,0.5,0.842429,0.036825
0.05,10,0.8325,0.7,0.792472,0.054574
0.05,20,0.8325,0.7,0.827587,0.043370
0.05,40,0.8325,0.7,0.837339,0.035698
0.05,10,0.875,0.3,0.795814,0.046561
0.05,20,0.875,0.3,0.819330,0.047287
0.05,40,0.875,0.3,0.844145,0.034062
0.05,10,0.875,0.5,0.799724,0.049051
0.05,20,0.875,0.5,0.828503,0.050270
0.05,40,0.875,0.5,0.832073,0.048170
0.05,10,0.875,0.7,0.805013,0.059187
0.05,20,0.875,0.7,0.831163,0.059509
0.05,40,0.875,0.7,0.840104,0.019970
0.05,10,0.9075,0.3,0.801185,0.040169
0.05,20,0.9075,0.3,0.821378,0.052066
0.05,40,0.9075,0.3,0.841126,0.038120
0.05,10,0.9075,0.5,0.806822,0.046936
0.05,20,0.9075,0.5,0.821360,0.062223
0.05,40,0.9075,0.5,0.833906,0.029744
0.05,10,0.9075,0.7,0.800009,0.049961
0.05,20,0.9075,0.7,0.813985,0.047929
0.05,40,0.9075,0.7,0.817715,0.030631
0.05,10,0.95,0.3,0.810875,0.048005
0.05,20,0.95,0.3,0.807649,0.053575
0.05,40,0.95,0.3,0.845352,0.039451
0.05,10,0.95,0.5,0.816860,0.054237
0.05,20,0.95,0.5,0.819183,0.039594
0.05,40,0.95,0.5,0.844440,0.032913
0.05,10,0.95,0.7,0.809651,0.052660
0.05,20,0.95,0.7,0.825441,0.035606
0.05,40,0.95,0.7,0.830710,0.043972
0.06,10,0.8,0.3,0.827125,0.012888
0.06,20,0.8,0.3,0.841145,0.035456
0.06,40,0.8,0.3,0.848186,0.026621
0.06,10,0.8,0.5,0.814624,0.041821
0.06,20,0.8,0.5,0.843676,0.019776
0.06,40,0.8,0.5,0.858098,0.033533
0.06,10,0.8,0.7,0.828423,0.020866
0.06,20,0.8,0.7,0.841432,0.013431
0.06,40,0.8,0.7,0.853753,0.030900
0.06,10,0.8325,0.3,0.827931,0.027848
0.06,20,0.8325,0.3,0.836178,0.032616
0.06,40,0.8325,0.3,0.848529,0.018428
0.06,10,0.8325,0.5,0.823810,0.025928
0.06,20,0.8325,0.5,0.847387,0.037194
0.06,40,0.8325,0.5,0.847265,0.029906
0.06,10,0.8325,0.7,0.829189,0.027419
0.06,20,0.8325,0.7,0.836699,0.019619
0.06,40,0.8325,0.7,0.853197,0.023172
0.06,10,0.875,0.3,0.840755,0.025659
0.06,20,0.875,0.3,0.835487,0.023728
0.06,40,0.875,0.3,0.831329,0.020260
0.06,10,0.875,0.5,0.816944,0.032820
0.06,20,0.875,0.5,0.825049,0.028582
0.06,40,0.875,0.5,0.855285,0.019408
0.06,10,0.875,0.7,0.824973,0.028794
0.06,20,0.875,0.7,0.847834,0.029682
0.06,40,0.875,0.7,0.842683,0.029979
0.06,10,0.9075,0.3,0.836348,0.024080
0.06,20,0.9075,0.3,0.842428,0.026911
0.06,40,0.9075,0.3,0.851492,0.016931
0.06,10,0.9075,0.5,0.832818,0.027191
0.06,20,0.9075,0.5,0.836858,0.031209
0.06,40,0.9075,0.5,0.856873,0.022902
0.06,10,0.9075,0.7,0.826070,0.027892
0.06,20,0.9075,0.7,0.850766,0.029344
0.06,40,0.9075,0.7,0.848372,0.039250
0.06,10,0.95,0.3,0.828866,0.027174
0.06,20,0.95,0.3,0.837922,0.029232
0.06,40,0.95,0.3,0.855722,0.026099
0.06,10,0.95,0.5,0.836371,0.025735
0.06,20,0.95,0.5,0.837870,0.032089
0.06,40,0.95,0.5,0.842973,0.025654
0.06,10,0.95,0.7,0.840324,0.021441
0.06,20,0.95,0.7,0.829061,0.045200
0.06,40,0.95,0.7,0.843272,0.031341
0.07,10,0.8,0.3,0.828858,0.027186
0.07,20,0.8,0.3,0.838773,0.025937
0.07,40,0.8,0.3,0.835783,0.035393
0.07,10,0.8,0.5,0.825933,0.030666
0.07,20,0.8,0.5,0.842822,0.035072
0.07,40,0.8,0.5,0.847008,0.021153
0.07,10,0.8,0.7,0.817658,0.026162
0.07,20,0.8,0.7,0.836220,0.039697
0.07,40,0.8,0.7,0.845007,0.015292
0.07,10,0.8325,0.3,0.818062,0.026657
0.07,20,0.8325,0.3,0.831087,0.040358
0.07,40,0.8325,0.3,0.826908,0.032488
0.07,10,0.8325,0.5,0.832041,0.026865
0.07,20,0.8325,0.5,0.832115,0.038683
0.07,40,0.8325,0.5,0.853965,0.026800
0.07,10,0.8325,0.7,0.838778,0.023386
0.07,20,0.8325,0.7,0.838468,0.027853
0.07,40,0.8325,0.7,0.854857,0.027289
0.07,10,0.875,0.3,0.832614,0.035274
0.07,20,0.875,0.3,0.841653,0.026052
0.07,40,0.875,0.3,0.841196,0.015507
0.07,10,0.875,0.5,0.825257,0.025169
0.07,20,0.875,0.5,0.842127,0.029889
0.07,40,0.875,0.5,0.855983,0.026655
0.07,10,0.875,0.7,0.824350,0.033866
0.07,20,0.875,0.7,0.837127,0.026109
0.07,40,0.875,0.7,0.844766,0.025370
0.07,10,0.9075,0.3,0.821714,0.038673
0.07,20,0.9075,0.3,0.839103,0.021767
0.07,40,0.9075,0.3,0.846703,0.020410
0.07,10,0.9075,0.5,0.823480,0.031396
0.07,20,0.9075,0.5,0.838491,0.022747
0.07,40,0.9075,0.5,0.847801,0.023035
0.07,10,0.9075,0.7,0.827620,0.025683
0.07,20,0.9075,0.7,0.823521,0.022758
0.07,40,0.9075,0.7,0.848845,0.021767
0.07,10,0.95,0.3,0.830925,0.022498
0.07,20,0.95,0.3,0.828973,0.027050
0.07,40,0.95,0.3,0.841984,0.021947
0.07,10,0.95,0.5,0.824267,0.031357
0.07,20,0.95,0.5,0.826812,0.029499
0.07,40,0.95,0.5,0.853416,0.023855
0.07,10,0.95,0.7,0.819181,0.035532
0.07,20,0.95,0.7,0.841914,0.037111
0.07,40,0.95,0.7,0.845605,0.031713
0.08,10,0.8,0.3,0.840142,0.021147
0.08,20,0.8,0.3,0.859291,0.030089
0.08,40,0.8,0.3,0.856695,0.022869
0.08,10,0.8,0.5,0.837986,0.032124
0.08,20,0.8,0.5,0.855005,0.017598
0.08,40,0.8,0.5,0.865149,0.032912
0.08,10,0.8,0.7,0.840903,0.037452
0.08,20,0.8,0.7,0.856370,0.020515
0.08,40,0.8,0.7,0.834498,0.030002
0.08,10,0.8325,0.3,0.837915,0.034528
0.08,20,0.8325,0.3,0.856322,0.028092
0.08,40,0.8325,0.3,0.855733,0.028963
0.08,10,0.8325,0.5,0.841941,0.022585
0.08,20,0.8325,0.5,0.845995,0.023477
0.08,40,0.8325,0.5,0.854615,0.020130
0.08,10,0.8325,0.7,0.843201,0.043671
0.08,20,0.8325,0.7,0.847498,0.022088
0.08,40,0.8325,0.7,0.868880,0.022086
0.08,10,0.875,0.3,0.832463,0.009295
0.08,20,0.875,0.3,0.848910,0.018433
0.08,40,0.875,0.3,0.858718,0.030457
0.08,10,0.875,0.5,0.849827,0.032282
0.08,20,0.875,0.5,0.850392,0.041932
0.08,40,0.875,0.5,0.861816,0.020558
0.08,10,0.875,0.7,0.842229,0.022785
0.08,20,0.875,0.7,0.856062,0.038152
0.08,40,0.875,0.7,0.859622,0.014567
0.08,10,0.9075,0.3,0.847393,0.011179
0.08,20,0.9075,0.3,0.851042,0.028467
0.08,40,0.9075,0.3,0.860752,0.025373
0.08,10,0.9075,0.5,0.830712,0.036236
0.08,20,0.9075,0.5,0.855379,0.025378
0.08,40,0.9075,0.5,0.860294,0.041475
0.08,10,0.9075,0.7,0.852199,0.029348
0.08,20,0.9075,0.7,0.844666,0.025260
0.08,40,0.9075,0.7,0.847476,0.023442
0.08,10,0.95,0.3,0.844726,0.036405
0.08,20,0.95,0.3,0.858464,0.029637
0.08,40,0.95,0.3,0.857691,0.034483
0.08,10,0.95,0.5,0.862022,0.026697
0.08,20,0.95,0.5,0.852183,0.021636
0.08,40,0.95,0.5,0.837928,0.035861
0.08,10,0.95,0.7,0.845213,0.029646
0.08,20,0.95,0.7,0.865131,0.021631
0.08,40,0.95,0.7,0.863910,0.022736
0.09,10,0.8,0.3,0.866380,0.040221
0.09,20,0.8,0.3,0.871561,0.024199
0.09,40,0.8,0.3,0.883433,0.034755
0.09,10,0.8,0.5,0.853175,0.032178
0.09,20,0.8,0.5,0.876323,0.032722
0.09,40,0.8,0.5,0.872955,0.020601
0.09,10,0.8,0.7,0.851220,0.032316
0.09,20,0.8,0.7,0.877779,0.033995
